date,O3,CO,NO2,SO2
2026-01-26,0.1126812678244378,0.0257475217804312,2.5582356716473143e-05,0.0004319114690808
2026-01-20,0.1124463142620192,,2.318842310952248e-05,3.216750767965745e-05
2026-01-24,0.1129589762952592,0.0253568990156054,1.6465129192511085e-05,0.0002996457354842
2026-02-25,0.1124876131614049,0.0250799570579168,3.1563271553144055e-05,
2026-02-23,0.113534385531113,0.0302606573901497,2.901484367612284e-05,-9.807008670274324e-05
2026-02-24,0.113424788084295,,2.2946085768385924e-05,-1.319992720241584e-05
2026-02-26,0.1131608655055364,0.0300578419985466,3.0243257141490984e-05,2.0419292074317733e-05
2026-02-22,0.1127434376213285,,2.1264723289749344e-05,0.0003816306379222
2026-02-21,0.1128401514556672,,,0.0001827773231626
2026-02-20,0.1111129714383019,0.0290288318480764,3.050173985353798e-05,-2.057445332563172e-05
2026-02-27,0.1124255945285161,0.030524970497936,2.439371630692943e-05,7.9816795622526e-05
2026-06-22,0.1181588234172927,0.0256171009192864,3.0939149058083005e-05,
2026-06-26,0.1139941232071982,0.0277453331483734,,-4.4997650547884405e-05
2026-06-20,0.1180471436844931,0.0274761242488789,2.6852214553703864e-05,1.2714351281896664e-05
2026-06-21,0.1188033706612057,0.0289163704547617,3.145313337427069e-05,-4.41567709559523e-06
2026-06-27,0.1119854138957129,0.0252473115582357,2.6736562926998885e-05,7.223264540135417e-05
2026-06-23,0.1170842132634586,0.0287257441629966,1.182189407700207e-05,-1.5127116247034185e-06
2026-06-24,0.1148616717921363,,8.461852121399716e-05,
2026-06-25,0.1160661473870277,0.0275332980196584,2.6656037074904555e-05,-5.479089531945647e-05
2026-08-24,0.1205119291941324,0.032713195722964,3.2571740545487654e-05,0.0001766745671375
2026-08-23,0.1206943775216738,0.0342560384008619,3.362257181530973e-05,6.40792346934581e-05
2026-02-14,0.1127869836158222,0.034053364313311,2.935118571056389e-05,4.202708241791697e-05
2026-02-16,0.1150345578789711,0.0365745128856764,2.9432946959989043e-05,8.784339827560048e-05
2026-02-19,0.1119588293963008,0.0307590171694755,2.990397307358864e-05,0.0001244767423486
2026-02-18,0.1145084066523446,0.028350384450621,2.4472475363129186e-05,1.9666571461129934e-05
2026-02-15,0.1124281583560837,0.0298496282762951,2.382014535710782e-05,5.853670563737978e-05
2026-02-17,0.1145580402678913,0.0303261632662872,2.193714250384609e-05,0.0001058251715361
2026-07-02,0.1162021767761972,0.0294143812110026,,9.885662189081137e-05
2026-07-04,0.1177665473686324,,2.9088701921864413e-05,0.0001528144622675
2026-07-03,0.1166600940956009,,2.5067525611019744e-05,0.0001758259043223
2026-07-01,0.1172068231762983,0.0244757216423749,2.1591233053186443e-05,0.0001105228916761
2026-06-29,0.1151094848910967,0.0298780297744087,1.9502967216584904e-05,0.0002695706145755
2026-06-30,0.1167652966247664,,2.6325253469729112e-05,-2.4569603637145418e-05
2026-07-05,0.1162838891148567,0.0315938020745913,1.274737831459384e-05,0.0002369764800442
2026-06-28,0.1138846543100145,,,-3.9758168026714376e-05
2025-09-30,,0.0324852059284846,3.934425112674944e-05,0.0001577039312299
2025-10-01,0.1130558393067783,0.0286517624639802,2.172566922292225e-05,2.952822271456373e-05
2025-10-02,0.1157162053620114,0.035038026003167,4.83424614180371e-05,2.450212542455466e-05
2025-10-06,0.1191273204154438,,4.0998864602038845e-05,-9.469611608009846e-06
2025-10-04,0.1142715078261163,0.0319775432813912,2.761993711043364e-05,3.254420304773059e-05
2025-10-03,0.1162121125393443,0.0348441459937021,3.0823874063522406e-05,3.0082298566882065e-05
2025-10-05,0.1162071464790238,0.0314525384012432,3.1297043172999954e-05,0.0002674859497346
2025-09-29,0.1161168062024646,0.0331987313512298,4.789369464001188e-05,
2026-07-10,0.1181150385075145,0.0434917347549006,2.2859570290992533e-05,6.0181224853295134e-05
2026-07-11,0.1182639112075169,0.0325639582215211,1.7784988954695613e-05,0.000351812754924
2026-07-13,0.1178352245026164,0.0303978078926985,2.7299900527092783e-05,5.785121671779898e-05
2026-07-12,0.1153423014614317,0.0248125774578915,3.108775491556217e-05,6.277035859945102e-05
2025-11-10,0.11492986265156,,1.6705223828239468e-05,0.0001046552339782
2025-11-14,0.1158608535925547,,2.6226421078019992e-05,9.714843664759035e-07
2025-11-12,0.1151521560218599,,2.762883499940472e-05,7.512040356232319e-05
2025-11-08,0.1147474077012803,0.0260304359512196,2.714248524749895e-05,0.0002577741118241
2025-11-09,0.1166008755564689,0.0261174056989451,,
2025-11-13,0.1137242449654473,0.0229679103940725,2.5783923538929905e-05,-0.0002299592112346
2025-11-11,0.1155772782034344,0.0328741936056419,,7.258477562572807e-05
2025-11-15,0.1155182444387012,0.0255393798566526,,-5.980300220747295e-05
2025-09-20,,0.0334868110716342,2.9101905965944752e-05,0.0001140520839008
2025-09-16,0.115825202067693,0.0302193623290143,3.315047976164871e-05,-8.557645028654057e-05
2025-09-18,0.1133752387430932,0.0278065907872385,4.225069228090838e-05,
2025-09-15,0.1162557721138,0.0343758968429432,3.888333531270319e-05,
2025-09-14,0.1163057643506262,0.0304616608967383,3.929085352057073e-05,
2025-09-19,0.1127382510238223,0.0259307733736932,4.460833079892009e-05,4.396453356282015e-06
2025-09-13,0.1155616150961982,0.0279252229051457,3.643857533259304e-05,9.680219930790677e-05
2025-09-17,0.1151681254307429,0.0202147550880908,4.581848519419076e-05,
2025-11-06,0.1135744556784629,0.0305235233157873,2.283118850582036e-05,0.000226412464892
2025-11-03,0.1166555622220039,,2.538894681476957e-05,0.0001407051668947
2025-11-05,0.1146868634555074,0.0307741681621833,2.9941070948148584e-05,-6.868333338287711e-05
2025-10-31,0.1166308106647597,0.0276403623916532,2.6096273878855364e-05,-5.695169187843973e-05
2025-11-02,0.1177795723080635,0.0317706448425139,2.606256009585195e-05,5.227101552615447e-05
2025-11-04,0.1154297217726707,0.0349328248057423,1.4764938754296963e-05,6.2896373508339e-05
2025-11-07,0.1145957074231571,0.0256178087244431,,
2025-11-01,0.1161238792869779,0.0314528190013435,3.123760166090506e-05,0.0002665204459693
2026-01-17,0.1119670538438691,0.029498241841793,,0.0001001408216947
2026-01-15,0.1126053545210096,0.02825634302788,3.137171734124422e-05,3.376091461342929e-06
2026-01-11,0.1133076472414864,0.0265145323756668,2.585038176524297e-05,-1.65357531437217e-05
2026-01-14,0.1112724632024765,0.0225701536983251,1.494994376116665e-05,0.0002934068699687
2026-01-13,0.1131529336174329,0.0262139694392681,,-0.0001590045020647
2026-01-16,0.1118735363086064,0.0304899523655573,,-2.4064203464351723e-05
2026-01-18,0.1132099229428503,0.0299076798715089,2.345007158422255e-05,9.374045055463084e-05
2026-01-12,0.1137455950180689,0.0285424641023079,2.2762346664724948e-05,-7.591231787955622e-05
2026-02-13,0.1128417033288213,0.0300408580236964,4.962839379408655e-05,-4.673763829588198e-05
2026-02-12,0.1130851550234688,0.0259461513410011,4.158152425791033e-05,4.485278405106576e-05
2025-10-18,0.1193167199380695,0.0288443935000234,2.713107710911168e-05,1.0022674703622015e-06
2025-10-19,0.116060661110613,0.0279178003884024,3.2052254569169324e-05,0.0001117150296164
2025-10-22,0.1193878846036063,0.0337733843674262,3.794562273671747e-05,8.007484207660633e-05
2025-10-16,0.1209872919652197,0.0270427792671729,3.9128242092879694e-05,0.0001286033651252
2025-10-20,0.1165493471754921,0.030184219777584,2.8458367220688768e-05,7.452867853317003e-05
2025-10-15,0.1175721496343612,0.0323285356577899,6.75797968546653e-05,-2.29289134949795e-06
2025-10-21,0.1200181341833538,0.0248579826121303,,1.7626702174311504e-05
2025-10-17,0.1198932331469323,0.0289137320386038,2.2958378896623016e-05,
2025-12-19,0.114068990945816,0.0257471184222361,1.9536461226819264e-05,4.523645232742032e-05
2025-12-23,0.1146936756041314,0.0298514812318391,2.0065948449752925e-05,
2025-12-18,0.114510609043969,,1.4344341066134802e-05,
2025-12-25,0.1152749886115392,0.030466429516673,1.6083617174444954e-05,8.368152066395851e-05
2025-12-21,0.1152874888645278,0.0263897556811571,,-3.4455035358149644e-06
2025-12-24,0.115316690173414,0.0298571484370364,2.8440013795324345e-05,-7.63607367844088e-05
2025-12-20,0.1140707981255319,0.0253978540768494,2.252199126814957e-05,1.548260010939416e-05
2025-12-22,0.1166890107923083,0.0274856362957507,3.043169557973409e-05,2.9735825771853724e-05
2026-08-10,0.1212638260589705,0.0294331767877867,3.617571577099928e-05,
2026-08-07,0.1208901522888077,0.021727038314566,2.3792488150320423e-05,
